# header
# energy = 14400.0 eV
# sdd = 0.670000 m
# alpha = 0.072789 deg
# beta = 0.072793 deg
# tth = 0.319103 deg
# qxy0 = 0.040643 /A
# expo_time = 30 sec
# monitor_3_ave = 3.357593 /sec
# px_size = 0.000172 m
# roi_x = 25
# roi_y = 86
# roi_dy = 3
# chamber_id = 0
# data
# idx	beta	intensity	qz
0.000000 -0.294921 151.008984 -0.028292
1.000000 -0.280213 171.010174 -0.026419
2.000000 -0.265505 170.010114 -0.024545
3.000000 -0.250796 178.010590 -0.022672
4.000000 -0.236088 163.009698 -0.020799
5.000000 -0.221380 154.009162 -0.018925
6.000000 -0.206671 150.008924 -0.017052
7.000000 -0.191963 201.011959 -0.015179
8.000000 -0.177254 173.010293 -0.013305
9.000000 -0.162546 193.011483 -0.011432
10.000000 -0.147837 192.011423 -0.009559
11.000000 -0.133129 159.009460 -0.007685
12.000000 -0.118420 194.011542 -0.005812
13.000000 -0.103712 168.009995 -0.003938
14.000000 -0.089003 193.011483 -0.002065
15.000000 -0.074294 184.010947 -0.000192
16.000000 -0.059586 175.010412 0.001682
17.000000 -0.044877 172.010233 0.003555
18.000000 -0.030168 168.009995 0.005428
19.000000 -0.015460 190.011304 0.007302
20.000000 -0.000751 161.009579 0.009175
21.000000 0.013958 170.010114 0.011049
22.000000 0.028667 189.011245 0.012922
23.000000 0.043375 180.010709 0.014795
24.000000 0.058084 174.010352 0.016669
25.000000 0.072793 175.010412 0.018542
26.000000 0.087502 167.009936 0.020416
27.000000 0.102211 183.010888 0.022289
28.000000 0.116919 150.008924 0.024162
29.000000 0.131628 161.009579 0.026036
30.000000 0.146337 172.010233 0.027909
31.000000 0.161046 193.011483 0.029783
32.000000 0.175754 173.010293 0.031656
33.000000 0.190463 173.010293 0.033529
34.000000 0.205172 154.009162 0.035403
35.000000 0.219880 154.009162 0.037276
36.000000 0.234589 121.007199 0.039149
37.000000 0.249298 171.010174 0.041023
38.000000 0.264006 169.010055 0.042896
39.000000 0.278715 179.010650 0.044769
40.000000 0.293423 177.010531 0.046643
41.000000 0.308132 176.010471 0.048516
42.000000 0.322840 167.009936 0.050390
43.000000 0.337549 152.009043 0.052263
44.000000 0.352257 169.010055 0.054136
45.000000 0.366966 157.009341 0.056009
46.000000 0.381674 165.009817 0.057883
47.000000 0.396382 153.009103 0.059756
48.000000 0.411091 158.009400 0.061629
49.000000 0.425799 193.011483 0.063503
50.000000 0.440507 176.010471 0.065376
51.000000 0.455215 161.009579 0.067249
52.000000 0.469923 176.010471 0.069122
53.000000 0.484631 172.010233 0.070996
54.000000 0.499339 157.009341 0.072869
55.000000 0.514047 175.010412 0.074742
56.000000 0.528755 163.009698 0.076615
57.000000 0.543463 177.010531 0.078488
58.000000 0.558171 173.010293 0.080362
59.000000 0.572878 144.008567 0.082235
60.000000 0.587586 152.009043 0.084108
61.000000 0.602294 158.009400 0.085981
62.000000 0.617001 170.010114 0.087854
63.000000 0.631708 170.010114 0.089727
64.000000 0.646416 149.008865 0.091600
65.000000 0.661123 145.008627 0.093474
66.000000 0.675830 154.009162 0.095347
67.000000 0.690537 150.008924 0.097220
68.000000 0.705244 180.010709 0.099093
69.000000 0.719951 165.009817 0.100966
70.000000 0.734658 180.010709 0.102839
71.000000 0.749365 141.008389 0.104712
72.000000 0.764071 166.009876 0.106585
73.000000 0.778778 165.009817 0.108458
74.000000 0.793485 152.009043 0.110331
75.000000 0.808191 156.009281 0.112203
76.000000 0.822897 169.010055 0.114076
77.000000 0.837603 149.008865 0.115949
78.000000 0.852310 170.010114 0.117822
79.000000 0.867016 166.009876 0.119695
80.000000 0.881721 160.009519 0.121568
81.000000 0.896427 183.010888 0.123441
82.000000 0.911133 143.008508 0.125313
83.000000 0.925838 164.009757 0.127186
84.000000 0.940544 150.008924 0.129059
85.000000 0.955249 178.010590 0.130931
86.000000 0.969954 159.009460 0.132804
87.000000 0.984660 154.009162 0.134677
88.000000 0.999365 164.009757 0.136549
89.000000 1.014069 155.009222 0.138422
90.000000 1.028774 162.009638 0.140295
91.000000 1.043479 167.009936 0.142167
92.000000 1.058183 155.009222 0.144040
93.000000 1.072888 169.010055 0.145912
94.000000 1.087592 126.007496 0.147785
95.000000 1.102296 155.009222 0.149657
96.000000 1.117000 157.009341 0.151530
97.000000 1.131704 174.010352 0.153402
98.000000 1.146407 152.009043 0.155274
99.000000 1.161111 156.009281 0.157147
100.000000 1.175814 165.009817 0.159019
101.000000 1.190517 157.009341 0.160891
102.000000 1.205221 176.010471 0.162764
103.000000 1.219924 165.009817 0.164636
104.000000 1.234626 154.009162 0.166508
105.000000 1.249329 183.010888 0.168380
106.000000 1.264031 172.010233 0.170252
107.000000 1.278734 148.008805 0.172124
108.000000 1.293436 165.009817 0.173997
109.000000 1.308138 150.008924 0.175869
110.000000 1.322840 172.010233 0.177741
111.000000 1.337541 161.009579 0.179613
112.000000 1.352243 172.010233 0.181485
113.000000 1.366944 175.010412 0.183357
114.000000 1.381646 155.009222 0.185228
115.000000 1.396347 167.009936 0.187100
116.000000 1.411047 143.008508 0.188972
117.000000 1.425748 136.008091 0.190844
118.000000 1.440449 161.009579 0.192716
119.000000 1.455149 184.010947 0.194587
120.000000 1.469849 158.009400 0.196459
121.000000 1.484549 156.009281 0.198331
122.000000 1.499249 154.009162 0.200202
123.000000 1.513948 151.008984 0.202074
124.000000 1.528648 179.010650 0.203945
125.000000 1.543347 139.008270 0.205817
126.000000 1.558046 151.008984 0.207688
127.000000 1.572744 165.009817 0.209560
128.000000 1.587443 154.009162 0.211431
129.000000 1.602141 149.008865 0.213303
130.000000 1.616840 165.009817 0.215174
131.000000 1.631538 143.008508 0.217045
132.000000 1.646235 152.009043 0.218916
133.000000 1.660933 173.010293 0.220788
134.000000 1.675630 168.009995 0.222659
135.000000 1.690328 163.009698 0.224530
136.000000 1.705024 174.010352 0.226401
137.000000 1.719721 164.009757 0.228272
138.000000 1.734418 194.011542 0.230143
139.000000 1.749114 160.009519 0.232014
140.000000 1.763810 155.009222 0.233885
141.000000 1.778506 148.008805 0.235756
142.000000 1.793202 150.008924 0.237626
143.000000 1.807897 142.008448 0.239497
144.000000 1.822592 153.009103 0.241368
145.000000 1.837287 155.009222 0.243239
146.000000 1.851982 151.008984 0.245109
147.000000 1.866676 147.008746 0.246980
148.000000 1.881370 173.010293 0.248850
149.000000 1.896064 153.009103 0.250721
150.000000 1.910758 157.009341 0.252591
151.000000 1.925452 163.009698 0.254462
152.000000 1.940145 153.009103 0.256332
153.000000 1.954838 171.010174 0.258202
154.000000 1.969531 157.009341 0.260073
155.000000 1.984223 160.009519 0.261943
156.000000 1.998916 181.010769 0.263813
157.000000 2.013608 159.009460 0.265683
158.000000 2.028299 185.011007 0.267553
159.000000 2.042991 176.010471 0.269423
160.000000 2.057682 143.008508 0.271293
161.000000 2.072373 165.009817 0.273163
162.000000 2.087064 158.009400 0.275033
163.000000 2.101754 154.009162 0.276903
164.000000 2.116445 164.009757 0.278773
165.000000 2.131134 165.009817 0.280642
166.000000 2.145824 131.007794 0.282512
167.000000 2.160513 176.010471 0.284382
168.000000 2.175203 163.009698 0.286251
169.000000 2.189891 152.009043 0.288121
170.000000 2.204580 160.009519 0.289990
171.000000 2.219268 133.007913 0.291859
172.000000 2.233956 130.007734 0.293729
173.000000 2.248644 134.007972 0.295598
174.000000 2.263331 157.009341 0.297467
175.000000 2.278019 161.009579 0.299336
176.000000 2.292705 165.009817 0.301206
177.000000 2.307392 146.008686 0.303075
178.000000 2.322078 163.009698 0.304944
179.000000 2.336764 155.009222 0.306813
180.000000 2.351450 151.008984 0.308681
181.000000 2.366135 155.009222 0.310550
182.000000 2.380820 150.008924 0.312419
183.000000 2.395505 148.008805 0.314288
184.000000 2.410189 167.009936 0.316156
185.000000 2.424874 165.009817 0.318025
186.000000 2.439557 149.008865 0.319894
187.000000 2.454241 152.009043 0.321762
188.000000 2.468924 153.009103 0.323630
189.000000 2.483607 148.008805 0.325499
190.000000 2.498290 135.008032 0.327367
191.000000 2.512972 161.009579 0.329235
192.000000 2.527654 153.009103 0.331104
193.000000 2.542335 147.008746 0.332972
194.000000 2.557017 140.008329 0.334840
195.000000 2.571698 163.009698 0.336708
196.000000 2.586378 145.008627 0.338576
197.000000 2.601059 168.009995 0.340443
198.000000 2.615739 135.008032 0.342311
199.000000 2.630418 160.009519 0.344179
200.000000 2.645098 156.009281 0.346047
201.000000 2.659777 152.009043 0.347914
202.000000 2.674455 148.008805 0.349782
203.000000 2.689134 141.008389 0.351649
204.000000 2.703811 178.010590 0.353517
205.000000 2.718489 178.010590 0.355384
206.000000 2.733166 162.009638 0.357251
207.000000 2.747843 161.009579 0.359118
208.000000 2.762520 179.010650 0.360986
209.000000 2.777196 143.008508 0.362853
210.000000 2.791872 137.008151 0.364720
211.000000 2.806547 129.007675 0.366587
212.000000 2.821222 161.009579 0.368453
213.000000 2.835897 151.008984 0.370320
214.000000 2.850572 147.008746 0.372187
215.000000 2.865246 190.011304 0.374054
216.000000 2.879919 169.010055 0.375920
217.000000 2.894593 153.009103 0.377787
218.000000 2.909266 155.009222 0.379653
219.000000 2.923938 160.009519 0.381519
220.000000 2.938610 175.010412 0.383386
221.000000 2.953282 159.009460 0.385252
222.000000 2.967954 149.008865 0.387118
223.000000 2.982625 140.008329 0.388984
224.000000 2.997295 151.008984 0.390850
225.000000 3.011966 157.009341 0.392716
226.000000 3.026635 159.009460 0.394582
227.000000 3.041305 152.009043 0.396448
228.000000 3.055974 160.009519 0.398313
229.000000 3.070643 162.009638 0.400179
230.000000 3.085311 165.009817 0.402045
231.000000 3.099979 140.008329 0.403910
232.000000 3.114647 147.008746 0.405775
233.000000 3.129314 151.008984 0.407641
234.000000 3.143981 160.009519 0.409506
235.000000 3.158647 171.010174 0.411371
236.000000 3.173313 149.008865 0.413236
237.000000 3.187978 162.009638 0.415101
238.000000 3.202643 156.009281 0.416966
239.000000 3.217308 134.007972 0.418831
240.000000 3.231973 151.008984 0.420696
241.000000 3.246636 128.007615 0.422561
242.000000 3.261300 144.008567 0.424425
243.000000 3.275963 141.008389 0.426290
244.000000 3.290626 142.008448 0.428154
245.000000 3.305288 138.008210 0.430019
246.000000 3.319950 118.007020 0.431883
247.000000 3.334611 149.008865 0.433747
248.000000 3.349272 149.008865 0.435611
249.000000 3.363932 128.007615 0.437475
250.000000 3.378592 128.007615 0.439339
251.000000 3.393252 136.008091 0.441203
252.000000 3.407911 144.008567 0.443067
253.000000 3.422570 140.008329 0.444931
254.000000 3.437228 138.008210 0.446794
255.000000 3.451886 147.008746 0.448658
256.000000 3.466544 141.008389 0.450521
257.000000 3.481201 160.009519 0.452385
258.000000 3.495857 143.008508 0.454248
259.000000 3.510513 145.008627 0.456111
260.000000 3.525169 138.008210 0.457974
261.000000 3.539824 153.009103 0.459837
262.000000 3.554479 140.008329 0.461700
263.000000 3.569133 147.008746 0.463563
264.000000 3.583787 144.008567 0.465426
265.000000 3.598440 143.008508 0.467288
266.000000 3.613093 134.007972 0.469151
267.000000 3.627746 131.007794 0.471014
268.000000 3.642398 150.008924 0.472876
269.000000 3.657049 154.009162 0.474738
270.000000 3.671700 129.007675 0.476601
271.000000 3.686351 173.010293 0.478463
272.000000 3.701001 129.007675 0.480325
273.000000 3.715651 146.008686 0.482187
274.000000 3.730300 135.008032 0.484049
275.000000 3.744948 139.008270 0.485910
276.000000 3.759597 147.008746 0.487772
277.000000 3.774244 143.008508 0.489634
278.000000 3.788892 126.007496 0.491495
279.000000 3.803538 163.009698 0.493356
280.000000 3.818185 138.008210 0.495218
281.000000 3.832830 139.008270 0.497079
282.000000 3.847476 136.008091 0.498940
283.000000 3.862120 118.007020 0.500801
284.000000 3.876765 155.009222 0.502662
285.000000 3.891408 125.007437 0.504523
286.000000 3.906052 149.008865 0.506384
287.000000 3.920695 127.007556 0.508244
288.000000 3.935337 127.007556 0.510105
289.000000 3.949979 144.008567 0.511965
290.000000 3.964620 119.007080 0.513826
291.000000 3.979261 129.007675 0.515686
292.000000 3.993901 143.008508 0.517546
293.000000 4.008541 132.007853 0.519406
294.000000 4.023180 135.008032 0.521266
295.000000 4.037818 140.008329 0.523126
296.000000 4.052457 137.008151 0.524986
297.000000 4.067094 133.007913 0.526845
298.000000 4.081731 156.009281 0.528705
299.000000 4.096368 138.008210 0.530564
300.000000 4.111004 141.008389 0.532424
301.000000 4.125640 144.008567 0.534283
302.000000 4.140275 137.008151 0.536142
303.000000 4.154909 130.007734 0.538001
304.000000 4.169543 134.007972 0.539860
305.000000 4.184177 132.007853 0.541719
306.000000 4.198810 141.008389 0.543578
307.000000 4.213442 150.008924 0.545436
308.000000 4.228074 149.008865 0.547295
309.000000 4.242705 136.008091 0.549153
310.000000 4.257336 135.008032 0.551012
311.000000 4.271966 136.008091 0.552870
312.000000 4.286595 130.007734 0.554728
313.000000 4.301225 130.007734 0.556586
314.000000 4.315853 127.007556 0.558444
315.000000 4.330481 144.008567 0.560302
316.000000 4.345108 145.008627 0.562159
317.000000 4.359735 137.008151 0.564017
318.000000 4.374362 132.007853 0.565875
319.000000 4.388987 133.007913 0.567732
320.000000 4.403613 156.009281 0.569589
321.000000 4.418237 142.008448 0.571446
322.000000 4.432861 142.008448 0.573303
323.000000 4.447485 146.008686 0.575160
324.000000 4.462108 130.007734 0.577017
325.000000 4.476730 141.008389 0.578874
326.000000 4.491352 134.007972 0.580731
327.000000 4.505973 148.008805 0.582587
328.000000 4.520593 133.007913 0.584443
329.000000 4.535213 125.007437 0.586300
330.000000 4.549833 139.008270 0.588156
331.000000 4.564452 127.007556 0.590012
332.000000 4.579070 125.007437 0.591868
333.000000 4.593688 128.007615 0.593724
334.000000 4.608305 124.007377 0.595579
335.000000 4.622921 156.009281 0.597435
336.000000 4.637537 122.007258 0.599291
337.000000 4.652152 122.007258 0.601146
338.000000 4.666767 131.007794 0.603001
339.000000 4.681381 149.008865 0.604856
340.000000 4.695995 130.007734 0.606711
341.000000 4.710608 118.007020 0.608566
342.000000 4.725220 126.007496 0.610421
343.000000 4.739832 147.008746 0.612276
344.000000 4.754443 154.009162 0.614130
345.000000 4.769053 136.008091 0.615985
346.000000 4.783663 158.009400 0.617839
347.000000 4.798272 124.007377 0.619693
348.000000 4.812881 131.007794 0.621547
349.000000 4.827489 135.008032 0.623401
350.000000 4.842096 153.009103 0.625255
351.000000 4.856703 134.007972 0.627109
352.000000 4.871309 117.006961 0.628963
353.000000 4.885915 144.008567 0.630816
354.000000 4.900520 140.008329 0.632670
355.000000 4.915124 123.007318 0.634523
356.000000 4.929728 133.007913 0.636376
357.000000 4.944331 131.007794 0.638229
358.000000 4.958933 129.007675 0.640082
359.000000 4.973535 124.007377 0.641935
360.000000 4.988136 110.006545 0.643787
361.000000 5.002736 112.006663 0.645640
362.000000 5.017336 129.007675 0.647492
363.000000 5.031935 146.008686 0.649345
364.000000 5.046534 124.007377 0.651197
365.000000 5.061132 127.007556 0.653049
366.000000 5.075729 123.007318 0.654901
367.000000 5.090326 120.007139 0.656753
368.000000 5.104921 118.007020 0.658604
369.000000 5.119517 121.007199 0.660456
370.000000 5.134111 116.006901 0.662307
371.000000 5.148705 141.008389 0.664158
372.000000 5.163299 115.006842 0.666010
373.000000 5.177891 135.008032 0.667861
374.000000 5.192483 129.007675 0.669712
375.000000 5.207075 138.008210 0.671562
376.000000 5.221665 137.008151 0.673413
377.000000 5.236255 137.008151 0.675264
378.000000 5.250844 124.007377 0.677114
379.000000 5.265433 136.008091 0.678964
380.000000 5.280021 144.008567 0.680814
381.000000 5.294608 124.007377 0.682664
382.000000 5.309195 123.007318 0.684514
383.000000 5.323781 150.008924 0.686364
384.000000 5.338366 137.008151 0.688214
385.000000 5.352951 100.005950 0.690063
386.000000 5.367534 132.007853 0.691913
387.000000 5.382118 116.006901 0.693762
388.000000 5.396700 127.007556 0.695611
389.000000 5.411282 121.007199 0.697460
390.000000 5.425863 125.007437 0.699309
391.000000 5.440443 127.007556 0.701157
392.000000 5.455023 132.007853 0.703006
393.000000 5.469602 123.007318 0.704854
394.000000 5.484180 107.006366 0.706703
395.000000 5.498758 124.007377 0.708551
