# header
# energy = 14400.0 eV
# sdd = 0.670000 m
# alpha = 0.072789 deg
# beta = 0.072793 deg
# tth = 2.505353 deg
# qxy0 = 0.319071 /A
# expo_time = 30 sec
# monitor_3_ave = 3.357593 /sec
# px_size = 0.000172 m
# roi_x = 25
# roi_y = 86
# roi_dy = 3
# chamber_id = 0
# data
# idx	beta	intensity	qz
0.000000 -0.294921 9.019951 -0.028292
1.000000 -0.280213 12.026602 -0.026419
2.000000 -0.265505 13.028819 -0.024545
3.000000 -0.250796 16.035469 -0.022672
4.000000 -0.236088 11.024385 -0.020799
5.000000 -0.221380 6.013301 -0.018925
6.000000 -0.206671 14.031035 -0.017052
7.000000 -0.191963 20.044336 -0.015179
8.000000 -0.177254 13.028819 -0.013305
9.000000 -0.162546 8.017734 -0.011432
10.000000 -0.147837 6.013301 -0.009559
11.000000 -0.133129 16.035469 -0.007685
12.000000 -0.118420 14.031035 -0.005812
13.000000 -0.103712 15.033252 -0.003938
14.000000 -0.089003 11.024385 -0.002065
15.000000 -0.074294 8.017734 -0.000192
16.000000 -0.059586 9.019951 0.001682
17.000000 -0.044877 9.019951 0.003555
18.000000 -0.030168 15.033252 0.005428
19.000000 -0.015460 12.026602 0.007302
20.000000 -0.000751 6.013301 0.009175
21.000000 0.013958 7.015518 0.011049
22.000000 0.028667 8.017734 0.012922
23.000000 0.043375 11.024385 0.014795
24.000000 0.058084 9.019951 0.016669
25.000000 0.072793 9.019951 0.018542
26.000000 0.087502 9.019951 0.020416
27.000000 0.102211 10.022168 0.022289
28.000000 0.116919 18.039903 0.024162
29.000000 0.131628 15.033252 0.026036
30.000000 0.146337 13.028819 0.027909
31.000000 0.161046 14.031035 0.029783
32.000000 0.175754 19.042119 0.031656
33.000000 0.190463 15.033252 0.033529
34.000000 0.205172 8.017734 0.035403
35.000000 0.219880 18.039903 0.037276
36.000000 0.234589 15.033252 0.039149
37.000000 0.249298 11.024385 0.041023
38.000000 0.264006 12.026602 0.042896
39.000000 0.278715 17.037686 0.044769
40.000000 0.293423 12.026602 0.046643
41.000000 0.308132 10.022168 0.048516
42.000000 0.322840 14.031035 0.050390
43.000000 0.337549 11.024385 0.052263
44.000000 0.352257 14.031035 0.054136
45.000000 0.366966 13.028819 0.056009
46.000000 0.381674 13.028819 0.057883
47.000000 0.396382 13.028819 0.059756
48.000000 0.411091 14.031035 0.061629
49.000000 0.425799 9.019951 0.063503
50.000000 0.440507 7.015518 0.065376
51.000000 0.455215 11.024385 0.067249
52.000000 0.469923 14.031035 0.069122
53.000000 0.484631 16.035469 0.070996
54.000000 0.499339 17.037686 0.072869
55.000000 0.514047 12.026602 0.074742
56.000000 0.528755 8.017734 0.076615
57.000000 0.543463 11.024385 0.078488
58.000000 0.558171 11.024385 0.080362
59.000000 0.572878 12.026602 0.082235
60.000000 0.587586 13.028819 0.084108
61.000000 0.602294 12.026602 0.085981
62.000000 0.617001 9.019951 0.087854
63.000000 0.631708 8.017734 0.089727
64.000000 0.646416 11.024385 0.091600
65.000000 0.661123 14.031035 0.093474
66.000000 0.675830 12.026602 0.095347
67.000000 0.690537 9.019951 0.097220
68.000000 0.705244 13.028819 0.099093
69.000000 0.719951 7.015518 0.100966
70.000000 0.734658 21.046553 0.102839
71.000000 0.749365 10.022168 0.104712
72.000000 0.764071 13.028819 0.106585
73.000000 0.778778 12.026602 0.108458
74.000000 0.793485 10.022168 0.110331
75.000000 0.808191 11.024385 0.112203
76.000000 0.822897 10.022168 0.114076
77.000000 0.837603 5.011084 0.115949
78.000000 0.852310 16.035469 0.117822
79.000000 0.867016 10.022168 0.119695
80.000000 0.881721 9.019951 0.121568
81.000000 0.896427 10.022168 0.123441
82.000000 0.911133 15.033252 0.125313
83.000000 0.925838 9.019951 0.127186
84.000000 0.940544 15.033252 0.129059
85.000000 0.955249 13.028819 0.130931
86.000000 0.969954 13.028819 0.132804
87.000000 0.984660 15.033252 0.134677
88.000000 0.999365 10.022168 0.136549
89.000000 1.014069 9.019951 0.138422
90.000000 1.028774 6.013301 0.140295
91.000000 1.043479 11.024385 0.142167
92.000000 1.058183 11.024385 0.144040
93.000000 1.072888 8.017734 0.145912
94.000000 1.087592 11.024385 0.147785
95.000000 1.102296 14.031035 0.149657
96.000000 1.117000 3.006650 0.151530
97.000000 1.131704 8.017734 0.153402
98.000000 1.146407 11.024385 0.155274
99.000000 1.161111 17.037686 0.157147
100.000000 1.175814 9.019951 0.159019
101.000000 1.190517 9.019951 0.160891
102.000000 1.205221 14.031035 0.162764
103.000000 1.219924 24.053203 0.164636
104.000000 1.234626 16.035469 0.166508
105.000000 1.249329 10.022168 0.168380
106.000000 1.264031 10.022168 0.170252
